"","x","response.level","predicted","std.error","conf.low","conf.high","dol"
"1:1",1976,"DESIRABLE",0.441699703485106,0.0463248889750327,0.419442633954916,0.46419349381439,"hfw0"
"1:2",1977,"DESIRABLE",0.376903694496373,0.0416201620548542,0.357947118962188,0.396244619756658,"hfw0"
"1:3",1978,"DESIRABLE",0.364616381946142,0.0385479872556329,0.347298375210249,0.382292155665061,"hfw0"
"1:4",1979,"DESIRABLE",0.363814746532467,0.0402441310857563,0.345761655036532,0.38225969281914,"hfw0"
"1:5",1980,"DESIRABLE",0.366024201227598,0.0405166150416404,0.347800278676245,0.38463986037851,"hfw0"
"1:6",1981,"DESIRABLE",0.354980114827314,0.0391272789713651,0.337622454686353,0.37272800283865,"hfw0"
"1:7",1982,"DESIRABLE",0.349417005881703,0.0394620584692164,0.332045728361931,0.367197482179456,"hfw0"
"1:8",1983,"DESIRABLE",0.347911886682248,0.0408686347855285,0.32996762253555,0.366298512415419,"hfw0"
"1:9",1984,"DESIRABLE",0.311559719712832,0.0424723268975718,0.293990389875676,0.329688710472131,"hfw0"
"1:10",1985,"DESIRABLE",0.295194380289302,0.0432575619640237,0.277866095943376,0.313134705322436,"hfw0"
"1:11",1986,"DESIRABLE",0.280645728489254,0.0451185998977526,0.263143883939097,0.298839535002669,"hfw0"
"1:12",1987,"DESIRABLE",0.28733803747304,0.0436014147031391,0.270161164293093,0.305150400716901,"hfw0"
"1:13",1988,"DESIRABLE",0.265813293431724,0.0447921430976697,0.249036010471115,0.283294460355497,"hfw0"
"1:14",1989,"DESIRABLE",0.267234418140768,0.0490290732817294,0.248842568340297,0.286467195773864,"hfw0"
"1:15",1990,"DESIRABLE",0.272838560977602,0.0509162362657894,0.2534942393368,0.293079510852188,"hfw0"
"1:16",1991,"DESIRABLE",0.269939716213999,0.0524505180864685,0.250165544979047,0.290671017589665,"hfw0"
"1:17",1992,"DESIRABLE",0.249155630317163,0.0532050460281865,0.230161298931263,0.269169414055608,"hfw0"
"1:18",1993,"DESIRABLE",0.256843781658049,0.0524214374043098,0.237726899234528,0.276939445298125,"hfw0"
"1:19",1994,"DESIRABLE",0.255924863354008,0.0535511324026894,0.236454591107342,0.276417966932881,"hfw0"
"1:20",1995,"DESIRABLE",0.267075812344531,0.0529372876122153,0.247262713921446,0.287869376232053,"hfw0"
"1:21",1996,"DESIRABLE",0.242227500813877,0.0573164658153852,0.22220820918473,0.263439501823144,"hfw0"
"1:22",1997,"DESIRABLE",0.236311099043488,0.0600909581717942,0.21571955332757,0.258221058656952,"hfw0"
"1:23",1998,"DESIRABLE",0.23330114457018,0.0610962065587208,0.212568787277672,0.255399727978442,"hfw0"
"1:24",1999,"DESIRABLE",0.271495758810711,0.0620083759417612,0.248135507561706,0.296188863294578,"hfw0"
"1:25",2000,"DESIRABLE",0.258176610843139,0.0667692262669449,0.233915491619832,0.284021128243204,"hfw0"
"1:26",2001,"DESIRABLE",0.249315300249035,0.0678255352627651,0.225272082220217,0.2750137176031,"hfw0"
"1:27",2002,"DESIRABLE",0.251814269669661,0.0658212504491754,0.228294464596757,0.27688776958254,"hfw0"
"1:28",2003,"DESIRABLE",0.238754593875887,0.0642812172717258,0.216614025105984,0.26240017846716,"hfw0"
"1:29",2004,"DESIRABLE",0.275853022345951,0.0602149744612212,0.252911247212445,0.300040081754207,"hfw0"
"1:30",2005,"DESIRABLE",0.252850946591222,0.0617852484424346,0.230664764348761,0.276404398749669,"hfw0"
"1:31",2006,"DESIRABLE",0.242173376133722,0.0662766387464507,0.219137352025323,0.2668035789908,"hfw0"
"1:32",2007,"DESIRABLE",0.256873941392334,0.066140862542699,0.232916804552618,0.282388101700849,"hfw0"
"1:33",2008,"DESIRABLE",0.244301447059697,0.0699448959933666,0.219886291601378,0.270487586381086,"hfw0"
"1:34",2009,"DESIRABLE",0.22468838166589,0.0723277151799196,0.200959171777012,0.250341675616046,"hfw0"
"1:35",2010,"DESIRABLE",0.228830063474713,0.0701742566826993,0.20546715593606,0.254000234257155,"hfw0"
"1:36",2011,"DESIRABLE",0.207145812302113,0.0733363237237968,0.184529947495736,0.231745757628717,"hfw0"
"1:37",2012,"DESIRABLE",0.240511104356574,0.0722567366289295,0.215599021320292,0.26732073690601,"hfw0"
"1:38",2013,"DESIRABLE",0.207683197146349,0.0771091086367009,0.183909935795849,0.233649696254948,"hfw0"
"1:39",2014,"DESIRABLE",0.228041676630604,0.0794076716527247,0.201807047096187,0.256590428609577,"hfw0"
"1:40",1976,"ACCEPTABLE",0.37271834275073,0.0471721889472566,0.351368683325289,0.394576102009137,"hfw0"
"1:41",1977,"ACCEPTABLE",0.416226462364989,0.0406932567983014,0.396985627418545,0.435726006063776,"hfw0"
"1:42",1978,"ACCEPTABLE",0.397289130304989,0.0379046283030038,0.379642713429019,0.415206796509426,"hfw0"
"1:43",1979,"ACCEPTABLE",0.392890292743515,0.0396876650031479,0.374498604089844,0.411590866447045,"hfw0"
"1:44",1980,"ACCEPTABLE",0.396270498928118,0.039796340978643,0.377768980758378,0.415073690543149,"hfw0"
"1:45",1981,"ACCEPTABLE",0.377928784356579,0.0384010035419747,0.360403473180186,0.395778959396957,"hfw0"
"1:46",1982,"ACCEPTABLE",0.403170705814226,0.0382019072552766,0.385292102870305,0.421310320044918,"hfw0"
"1:47",1983,"ACCEPTABLE",0.399683875080751,0.0394576145740273,0.381280198642958,0.418375191051716,"hfw0"
"1:48",1984,"ACCEPTABLE",0.420288565644925,0.039782960341736,0.40141755802323,0.439395500068964,"hfw0"
"1:49",1985,"ACCEPTABLE",0.436723049894343,0.0397793973516484,0.417647448549861,0.455987705700747,"hfw0"
"1:50",1986,"ACCEPTABLE",0.437871620597587,0.0407585958051332,0.418316083749503,0.457622135565259,"hfw0"
"1:51",1987,"ACCEPTABLE",0.401861303550485,0.0401676164725891,0.383092473959705,0.420922261764987,"hfw0"
"1:52",1988,"ACCEPTABLE",0.401780271364834,0.0401613860830262,0.383015688649041,0.420837113989748,"hfw0"
"1:53",1989,"ACCEPTABLE",0.403993097964203,0.0439264217729632,0.383445633270237,0.424882856335081,"hfw0"
"1:54",1990,"ACCEPTABLE",0.407209193624054,0.0460203733726291,0.385631467766049,0.429150911796769,"hfw0"
"1:55",1991,"ACCEPTABLE",0.402145769971775,0.0469327646678449,0.380242549486628,0.424446602788608,"hfw0"
"1:56",1992,"ACCEPTABLE",0.409967684970073,0.0462297988958441,0.388242051040656,0.43205045102525,"hfw0"
"1:57",1993,"ACCEPTABLE",0.427740431149197,0.0455477776664809,0.40604293228536,0.449719489885196,"hfw0"
"1:58",1994,"ACCEPTABLE",0.419209911425897,0.0469326124990639,0.39699450934092,0.44175774048243,"hfw0"
"1:59",1995,"ACCEPTABLE",0.396528952207197,0.0473170668832823,0.374563430497767,0.418919807531991,"hfw0"
"1:60",1996,"ACCEPTABLE",0.405196307764246,0.049182069547438,0.382191948655243,0.428624669126859,"hfw0"
